"","line","root","cell_type","value"
"86","ABRE_ABI1",1,"cortex",-0.581508503195669
"87","ABRE_ABI1",1,"cortex",-0.520119401398809
"88","ABRE_ABI1",1,"cortex",-0.574952385528044
"89","ABRE_ABI1",1,"cortex",-0.555284032525166
"90","ABRE_ABI1",1,"cortex",-0.576740417619214
"91","ABRE_ABI1",1,"cortex",-0.576740417619214
"92","ABRE_ABI1",1,"cortex",-0.60058084550149
"93","ABRE_ABI1",1,"cortex",-0.582700524589783
"94","ABRE_ABI1",1,"cortex",-0.594620738530921
"95","ABRE_ABI1",1,"cortex",-0.599388824107376
"96","ABRE_ABI1",1,"cortex",-0.602368877592661
"97","ABRE_ABI1",1,"cortex",-0.620845209201425
"98","ABRE_ABI1",1,"endodermis",1.90564413562277
"99","ABRE_ABI1",1,"endodermis",1.93186860629327
"100","ABRE_ABI1",1,"endodermis",0.84474509486149
"101","ABRE_ABI1",1,"endodermis",1.32751375947758
"102","ABRE_ABI1",1,"endodermis",0.623029115556323
"103","ABRE_ABI1",1,"endodermis",0.727330987541281
"104","ABRE_ABI1",1,"endodermis",0.389988933007076
"105","ABRE_ABI1",1,"endodermis",0.242774290834022
"106","ABRE_ABI1",1,"endodermis",0.104499809116821
"107","ABRE_ABI1",1,"endodermis",0.103903798419764
"108","ABRE_ABI1",1,"endodermis",0.00556203340537599
"109","ABRE_ABI1",1,"endodermis",-0.0141063195975017
"110","ABRE_ABI1",1,"endodermis",-0.125560319947142
"111","ABRE_ABI1",1,"endodermis",-0.124368298553028
"112","ABRE_ABI1",1,"endodermis",-0.268602887240798
"113","ABRE_ABI1",1,"endodermis",-0.236418309599725
"114","ABRE_ABI1",1,"endodermis",-0.288867250940732
"115","ABRE_ABI1",1,"endodermis",-0.309131614640667
"116","ABRE_ABI1",1,"endodermis",-0.371116727134584
"117","ABRE_ABI1",1,"endodermis",-0.332376031825886
"118","ABRE_ABI1",1,"endodermis",-0.406281358260941
"119","ABRE_ABI1",1,"endodermis",-0.397937208502145
"120","ABRE_ABI1",1,"endodermis",-0.457538278207834
"121","ABRE_ABI1",1,"endodermis",-0.426545721960876
"122","ABRE_ABI1",1,"endodermis",-0.372308748528698
"123","ABRE_ABI1",1,"endodermis",-0.448002107054924
"124","ABRE_ABI1",1,"endodermis",-0.420585614990307
"125","ABRE_ABI1",1,"endodermis",-0.47959067399894
"126","ABRE_ABI1",1,"endodermis",-0.483762748878338
"127","ABRE_ABI1",1,"endodermis",-0.501047059092988
"128","ABRE_ABI1",1,"endodermis",-0.50462312327533
"129","ABRE_ABI1",1,"endodermis",-0.474226577725428
"130","ABRE_ABI1",1,"endodermis",-0.527867540460549
"131","ABRE_ABI1",1,"endodermis",-0.490318866545964
"132","ABRE_ABI1",1,"endodermis",-0.537999722310516
"133","ABRE_ABI1",1,"endodermis",-0.514755305125297
"134","ABRE_ABI1",1,"endodermis",-0.527867540460549
"135","ABRE_ABI1",1,"endodermis",-0.512967273034126
"136","ABRE_ABI1",1,"endodermis",-0.557072064616337
"137","ABRE_ABI1",1,"endodermis",-0.55647605391928
"138","ABRE_ABI1",1,"endodermis",-0.547535893463426
